first_name,last_name,max_speed_imp,max_speed_met,avg_speed_imp,avg_speed_met,shots_over_100,shots_90_to_100,shots_80_to_90,shots_70_to_80
Nazem,Kadri,85.7,137.9208,51.307,82.5707,0,0,4,74
Mattias,Ekholm,98.4,158.3594,67.0402,107.8908,0,18,65,63
Blake,Coleman,88.67,142.7005,47.6853,76.742,0,0,6,26
Ryan,Nugent-Hopkins,88.46,142.3626,50.9811,82.0461,0,0,4,47
Brett,Kulak,91.68,147.5447,63.9857,102.975,0,2,27,42
MacKenzie,Weegar,90.98,146.4181,67.8466,109.1885,0,1,53,119
Darnell,Nurse,94.47,152.0347,66.5723,107.1377,0,6,42,112
Joel,Hanley,91.75,147.6573,66.4948,107.013,0,1,13,29
Leon,Draisaitl,86.26,138.822,55.522,89.3539,0,0,12,73
Kasperi,Kapanen,91.2,146.7722,55.5414,89.3852,0,1,14,14
Justin,Kirkland,87.05,140.0934,48.4292,77.9392,0,0,1,4
Andrew,Mangiapane,86.16,138.6611,48.5752,78.1742,0,0,4,17
Rasmus,Andersson,100.26,161.3528,67.8103,109.1301,1,20,91,82
Connor,McDavid,82.05,132.0467,48.3919,77.8792,0,0,5,56
Ryan,Lomberg,78.05,125.6093,54.1886,87.2081,0,0,0,14
Trent,Frederic,87.79,141.2843,52.2903,84.153,0,0,12,22
Jake,Bean,79.86,128.5222,63.6064,102.3645,0,0,0,15
Morgan,Frost,81.52,131.1937,49.124,79.0574,0,0,1,37
Joel,Farabee,83.73,134.7504,50.7328,81.6465,0,0,3,44
Evan,Bouchard,98.08,157.8445,74.2734,119.5315,0,51,127,148
Alec,Regula,82.28,132.4168,66.2538,106.6252,0,0,3,13
Ty,Emberson,91.8,147.7378,69.4296,111.7362,0,1,12,47
Kevin,Bahl,95.48,153.6602,69.4949,111.8412,0,6,31,29
Yegor,Sharangovich,96.14,154.7223,56.605,91.0969,0,1,25,64
Brayden,Pachal,86.62,139.4014,67.6624,108.8921,0,0,7,27
Noah,Philp,82.35,132.5295,50.6895,81.5768,0,0,2,3
Vasily,Podkolzin,91.11,146.6273,53.7735,86.5401,0,1,18,44
Connor,Zary,78.91,126.9933,48.1087,77.4234,0,0,0,39
Matt,Coronato,87.94,141.5257,56.8889,91.5538,0,0,26,87
Isaac,Howard,82.9,133.4146,61.6536,99.2219,0,0,9,21
Matt,Savoie,81.26,130.7753,50.9248,81.9556,0,0,5,36
Adam,Klapka,92.58,148.9931,57.3166,92.2421,0,4,28,27
Matvei,Gridin,89.7,144.3582,60.5591,97.4604,0,0,14,34
David,Tomasek,88.7,142.7488,50.3817,81.0814,0,0,1,6
Brayden,McNabb,94.45,152.0025,64.9016,104.4491,0,5,25,43
Reilly,Smith,81.78,131.6122,52.8745,85.0933,0,0,3,34
Mark,Stone,97.27,156.5409,43.0694,69.3134,0,5,14,14
Brandon,Saad,81.11,130.5339,47.991,77.234,0,0,1,9
William,Karlsson,84.6,136.1505,54.861,88.2902,0,0,4,7
Tomas,Hertl,89.51,144.0524,45.397,73.0594,0,0,12,31
Colton,Sissons,84.76,136.408,45.1475,72.6579,0,0,1,9
Shea,Theodore,92.77,149.2988,68.8546,110.8107,0,4,60,104
Ivan,Barbashev,87.36,140.5923,44.3785,71.4202,0,0,4,24
Noah,Hanifin,90.61,145.8227,68.424,110.1178,0,2,57,87
Jack,Eichel,94.62,152.2761,61.4459,98.8876,0,10,86,123
Keegan,Kolesar,80.74,129.9384,51.9123,83.5447,0,0,2,30
Jeremy,Lauzon,91.07,146.563,66.2095,106.5538,0,1,31,45
Mitch,Marner,86.31,138.9025,55.0633,88.6158,0,0,4,65
Brett,Howden,85.19,137.1,47.0347,75.695,0,0,3,13
Zach,Whitecloud,94.05,151.3588,68.0372,109.4952,0,6,24,65
Kaedan,Korczak,89.84,144.5835,64.315,103.505,0,0,12,46
Pavel,Dorofeyev,93.33,150.2001,55.5068,89.3295,0,3,49,80
Alex,Vlasic,95.38,153.4992,71.5607,115.1657,0,4,41,87
Louis,Crevier,102.83,165.4888,75.1552,120.9506,6,37,51,79
Jason,Zucker,83.15,133.817,45.2152,72.7669,0,0,2,23
Mason,Geertsen,40.83,65.7095,39.095,62.9173,0,0,0,0
Alex,Tuch,89.31,143.7305,57.7444,92.9306,0,0,33,72
Beck,Malenstyn,86.45,139.1278,50.2826,80.9221,0,0,6,23
Tage,Thompson,97.94,157.6192,65.3227,105.1267,0,44,121,115
Justin,Danforth,69.19,111.3505,49.1567,79.11,0,0,0,0
Conor,Timmins,101.12,162.7369,70.3609,113.235,1,3,14,46
Josh,Norris,87.36,140.5923,53.363,85.8794,0,0,10,23
Jacob,Bryson,86.34,138.9508,64.4932,103.7917,0,0,4,18
Ryan,McLeod,85.98,138.3714,54.2273,87.2703,0,0,3,19
Mattias,Samuelsson,98.09,157.8606,70.6052,113.628,0,6,49,115
Rasmus,Dahlin,96.17,154.7706,68.851,110.805,0,28,77,133
Peyton,Krebs,85.54,137.6633,54.6511,87.9524,0,0,5,32
Bowen,Byram,91.87,147.8504,65.2776,105.0541,0,1,23,92
Ryan,Johnson,78.92,127.0094,59.5225,95.7922,0,0,0,1
Jack,Quinn,87.68,141.1073,57.9624,93.2814,0,0,24,103
Josh,Doan,89.06,143.3282,48.3211,77.7653,0,0,15,48
Jiri,Kulich,86.83,139.7393,61.3549,98.7411,0,0,7,13
Patrick,Kane,76.45,123.0343,55.3953,89.15,0,0,0,45
Travis,Hamonic,89.45,143.9558,75.4144,121.3677,0,0,19,11
Ben,Chiarot,93.38,150.2805,68.6828,110.5343,0,5,34,93
Andrew,Copp,82.63,132.9801,43.2789,69.6507,0,0,9,19
J.T.,Compher,85.73,137.9691,51.6192,83.073,0,0,6,28
Dylan,Larkin,91.73,147.6251,54.6078,87.8827,0,2,42,72
Mason,Appleton,81.44,131.065,52.0544,83.7735,0,0,1,15
Alex,DeBrincat,88.14,141.8476,57.8305,93.0691,0,0,27,133
Michael,Rasmussen,83.25,133.9779,47.7477,76.8425,0,0,2,22
Moritz,Seider,98.93,159.2124,72.7044,117.0064,0,17,93,173
Albert,Johansson,93.52,150.5059,66.7402,107.4079,0,7,25,58
Elmer,Soderblom,92.73,149.2345,53.8537,86.6692,0,7,13,15
Lucas,Raymond,90.47,145.5974,60.5309,97.415,0,1,37,94
Simon,Edvinsson,88.81,142.9258,66.1133,106.3991,0,0,14,76
Marco,Kasper,87.11,140.19,50.9658,82.0215,0,0,9,46
Axel,Sandin-Pellikka,97.98,157.6835,70.5968,113.6145,0,6,35,77
Emmitt,Finnie,86.07,138.5162,48.9837,78.8316,0,0,7,35
Michael,Brandsegg-Nygård,87.73,141.1877,58.789,94.6118,0,0,7,13
Claude,Giroux,88.94,143.1351,54.0437,86.9748,0,0,10,34
David,Perron,88.04,141.6866,54.8779,88.3175,0,0,9,32
Ryan,McDonagh,88.57,142.5396,65.0623,104.7076,0,0,11,24
Lars,Eller,85.65,137.8403,50.3487,81.0284,0,0,2,20
Victor,Hedman,101.42,163.2197,74.1275,119.2966,1,21,28,33
Nick,Jensen,84.3,135.6677,64.3612,103.5793,0,0,6,33
Nick,Cousins,86.6,139.3692,47.8475,77.0031,0,0,1,12
