player_id,games_played,goals,assists,points,game_win_goals,ot_goals,shots,shooting_pctg,pim,plus_minus,pp_goals,pp_points,sh_goals,sh_points
8478408,19,0,0,0,0,0,8,0.0,2,-3,0,0,0,0
8478585,36,1,5,6,0,0,20,0.05,12,-4,0,0,0,0
8478891,71,10,12,22,3,0,107,0.093458,22,7,0,1,0,0
8480014,71,27,34,61,6,0,130,0.207692,14,9,12,25,0,0
8480049,60,6,14,20,2,1,95,0.063158,26,34,0,1,0,0
8480113,82,15,16,31,2,0,109,0.137615,15,21,6,10,0,0
8480145,69,10,29,39,2,1,123,0.081301,44,21,4,12,0,1
8480289,74,8,7,15,0,0,92,0.086957,16,8,0,0,2,2
8480803,82,14,53,67,2,1,235,0.059574,32,14,3,26,0,0
8480834,76,2,11,13,1,0,62,0.032258,18,-5,0,0,0,1
8480845,59,5,3,8,1,0,53,0.09434,16,-1,0,0,0,0
8481617,82,8,16,24,2,0,114,0.070175,48,1,0,0,0,0
8482149,82,18,32,50,2,0,143,0.125874,20,14,5,15,0,0
8474150,76,15,17,32,3,0,175,0.085714,32,4,1,6,1,1
8474574,71,6,18,24,0,0,87,0.068966,74,2,0,1,1,2
8475172,82,35,32,67,5,2,279,0.125448,72,-17,9,22,0,0
8475762,54,2,9,11,1,0,39,0.051282,45,-7,0,1,0,0
8476399,82,15,24,39,4,0,194,0.07732,36,-2,4,5,1,3
8476456,81,28,34,62,6,1,153,0.183007,34,-13,10,23,3,4
8476468,72,22,48,70,2,1,137,0.160584,55,-6,5,22,0,4
8476927,82,8,18,26,0,0,94,0.085106,39,-7,0,0,0,0
8477346,81,8,39,47,0,0,184,0.043478,33,18,4,21,0,2
8477369,75,4,9,13,2,0,81,0.049383,46,-11,0,0,0,0
8477511,13,4,3,7,1,0,15,0.266667,11,6,1,1,1,1
8478046,79,9,20,29,0,0,81,0.111111,31,2,1,2,1,1
8478397,81,11,20,31,1,0,163,0.067485,60,-38,3,9,0,0
8478444,75,25,25,50,3,0,145,0.172414,16,-25,9,20,0,0
8478466,30,2,5,7,1,0,55,0.036364,2,-1,1,2,0,0
8478498,82,28,20,48,4,2,171,0.163743,18,-15,14,19,0,0
8478856,81,19,31,50,4,2,171,0.111111,52,-13,7,16,0,0
8479066,80,3,10,13,0,0,66,0.045455,57,-5,0,0,0,0
8479291,70,5,5,10,0,0,54,0.092593,14,-6,0,0,0,1
8479402,64,2,5,7,0,0,71,0.028169,8,0,0,0,0,0
8479425,61,5,28,33,0,0,83,0.060241,40,0,0,7,0,0
8479576,51,0,3,3,0,0,28,0.0,45,-9,0,0,0,0
8480012,64,15,30,45,1,0,109,0.137615,14,-10,7,16,0,0
8480748,78,19,21,40,6,1,141,0.134752,35,-1,0,2,1,2
8480800,68,16,60,76,3,0,192,0.083333,29,2,4,29,0,0
8480860,73,3,17,20,0,0,82,0.036585,35,-6,1,1,0,0
8481028,81,4,21,25,0,0,114,0.035088,84,3,1,4,0,0
8481167,76,3,9,12,0,0,61,0.04918,88,5,0,0,0,1
8481535,72,8,17,25,2,0,83,0.096386,30,5,0,1,0,0
8482074,54,13,14,27,2,1,111,0.117117,14,-7,1,9,0,0
8482496,19,1,5,6,0,0,8,0.125,2,-2,0,0,0,0
8482624,44,2,7,9,1,0,52,0.038462,12,2,0,0,0,0
8482691,33,7,4,11,0,0,34,0.205882,14,-1,0,1,0,0
8483609,31,6,4,10,0,0,44,0.136364,29,-3,0,0,0,0
8483808,66,11,26,37,4,0,83,0.13253,14,-6,4,13,0,0
8484180,5,0,0,0,0,0,6,0.0,2,-1,0,0,0,0
8474565,71,4,29,33,1,0,123,0.03252,16,11,0,2,0,2
8475177,47,0,8,8,0,0,51,0.0,12,-4,0,0,0,0
8475188,82,5,15,20,0,0,97,0.051546,32,42,0,0,1,2
8475913,66,19,48,67,4,0,131,0.145038,14,22,5,25,0,1
8476312,48,1,14,15,0,0,65,0.015385,28,-6,0,1,0,1
8476871,78,12,15,27,2,0,109,0.110092,8,4,0,0,1,1
8476881,73,32,29,61,3,0,177,0.180791,20,-3,14,23,0,0
8477425,37,4,4,8,1,0,60,0.066667,48,-5,0,0,0,0
8477447,67,7,50,57,2,0,128,0.054688,26,18,2,19,0,0
8477492,79,32,84,116,5,1,320,0.1,41,25,9,38,0,0
8477494,43,11,26,37,2,0,56,0.196429,6,4,3,12,0,0
8477964,70,23,28,51,3,1,111,0.207207,10,26,2,3,0,0
8478038,76,10,34,44,4,2,138,0.072464,26,30,1,3,0,0
8478109,56,15,14,29,4,0,109,0.137615,16,17,6,8,0,0
8478396,80,10,29,39,2,0,145,0.068966,14,8,2,10,0,0
8478403,77,28,66,94,3,0,233,0.120172,8,32,5,34,1,2
8478420,82,32,56,88,6,0,212,0.150943,60,13,11,26,0,0
8478434,82,12,18,30,3,0,88,0.136364,53,3,0,0,0,1
8478462,71,15,16,31,3,0,107,0.140187,43,-4,2,4,0,0
8479353,80,23,17,40,4,1,125,0.184,46,17,0,0,1,1
8479398,73,3,21,24,2,1,95,0.031579,14,7,0,1,0,0
8479525,61,16,13,29,3,0,125,0.128,18,-1,5,7,0,0
8479980,68,5,7,12,1,0,74,0.067568,40,-2,0,0,0,0
8479999,81,15,25,40,3,0,105,0.142857,24,-29,3,13,0,0
8480069,80,30,62,92,4,1,246,0.121951,14,28,12,35,2,3
8480448,80,8,11,19,2,0,99,0.080808,29,-1,0,0,1,2
8480727,74,4,9,13,0,0,72,0.055556,37,7,0,0,0,0
8481042,57,7,13,20,0,0,45,0.155556,16,-9,3,4,0,0
8481186,80,10,11,21,1,0,89,0.11236,26,-4,0,0,0,1
8481604,82,35,17,52,7,0,254,0.137795,30,2,13,17,0,0
8481641,79,16,7,23,2,0,84,0.190476,20,15,0,0,1,1
8482125,53,4,8,12,0,0,69,0.057971,10,-3,1,2,0,0
8482153,9,0,0,0,0,0,7,0.0,0,-3,0,0,0,0
8483930,40,5,3,8,0,0,34,0.147059,8,-9,2,3,0,0
8484221,7,1,0,1,0,0,11,0.090909,0,-7,0,0,0,0
8484258,76,5,10,15,0,0,115,0.043478,16,8,0,1,0,0
8478450,55,1,6,7,0,0,44,0.022727,10,-10,0,0,0,0
8479362,6,0,0,0,0,0,1,0.0,4,-3,0,0,0,0
8482775,18,0,2,2,0,0,16,0.0,2,-5,0,1,0,0
8471685,81,21,46,67,7,0,98,0.214286,4,14,4,22,0,1
8473453,60,6,6,12,1,0,53,0.113208,20,-4,0,0,0,0
8476441,73,6,14,20,1,0,91,0.065934,22,25,0,1,0,0
8476479,80,8,35,43,3,0,123,0.065041,26,20,1,1,0,1
8477335,33,0,3,3,0,0,6,0.0,39,3,0,0,0,0
8477942,81,35,25,60,6,0,244,0.143443,38,-7,14,25,0,0
8477960,81,35,38,73,5,1,237,0.147679,36,22,7,18,1,1
8477998,82,24,22,46,7,0,199,0.120603,24,36,1,2,0,0
8478882,82,5,25,30,0,0,112,0.044643,28,26,0,0,0,1
8479661,67,7,6,13,1,0,56,0.125,89,0,0,0,0,0
8479675,71,18,22,40,2,0,153,0.117647,14,17,1,3,1,1
8479998,77,6,18,24,0,0,84,0.071429,28,17,0,0,0,0
8481532,68,9,16,25,2,0,79,0.113924,20,6,1,1,0,0
8481606,79,4,24,28,0,0,86,0.046512,16,23,0,5,0,0
8481732,19,1,2,3,1,0,18,0.055556,11,-5,0,0,0,0
