,team_id,team_code,game_num,date,goals,pim,shots,pp_perc,ppg,pp_opp,fo_win,blocked,takeaways,giveaways,hits
75,9,OTT,2022020076,2022-10-22T20:00:00Z,6,19,32,25.0,1.0,4.0,62.5,11,7,12,28
76,22,EDM,2022020077,2022-10-22T20:00:00Z,0,2,23,0.0,0.0,1.0,41.9,8,7,13,29
77,8,MTL,2022020078,2022-10-22T23:00:00Z,2,6,34,0.0,0.0,4.0,46.6,14,11,20,26
78,15,WSH,2022020079,2022-10-22T23:00:00Z,4,2,32,0.0,0.0,3.0,35.7,17,6,9,32
79,14,TBL,2022020080,2022-10-22T23:00:00Z,5,6,26,0.0,0.0,3.0,57.4,20,13,17,29
80,29,CBJ,2022020081,2022-10-22T23:00:00Z,3,6,32,0.0,0.0,1.0,46.7,15,10,5,31
81,52,WPG,2022020082,2022-10-22T23:00:00Z,1,15,31,0.0,0.0,3.0,47.8,18,8,13,29
82,18,NSH,2022020083,2022-10-23T00:00:00Z,1,14,32,33.3,1.0,3.0,71.4,12,4,7,38
83,23,VAN,2022020084,2022-10-23T02:00:00Z,1,2,30,25.0,1.0,4.0,55.4,14,13,6,40
84,20,CGY,2022020085,2022-10-23T02:00:00Z,3,8,32,25.0,1.0,4.0,48.0,15,9,6,26
85,54,VGK,2022020086,2022-10-23T02:00:00Z,2,4,35,25.0,1.0,4.0,60.7,27,4,7,41
86,16,CHI,2022020087,2022-10-23T18:00:00Z,5,8,27,66.7,2.0,3.0,69.5,15,16,21,40
87,17,DET,2022020088,2022-10-23T21:00:00Z,5,12,41,60.0,3.0,5.0,49.2,18,6,6,27
88,3,NYR,2022020089,2022-10-23T21:00:00Z,1,2,31,33.3,1.0,3.0,66.7,13,5,10,26
89,13,FLA,2022020090,2022-10-23T21:00:00Z,3,12,32,0.0,0.0,4.0,51.0,9,7,8,9
90,4,PHI,2022020091,2022-10-23T23:00:00Z,0,2,30,0.0,0.0,2.0,56.7,16,4,13,32
91,9,OTT,2022020092,2022-10-24T23:00:00Z,4,6,32,25.0,1.0,4.0,50.0,16,9,11,33
92,1,NJD,2022020093,2022-10-24T23:00:00Z,3,6,41,0.0,0.0,4.0,50.7,11,5,8,13
93,22,EDM,2022020094,2022-10-25T00:00:00Z,6,10,47,33.3,1.0,3.0,54.0,12,20,15,27
94,52,WPG,2022020095,2022-10-25T00:00:00Z,4,6,43,0.0,0.0,5.0,39.6,14,6,9,39
