player_id,current_team,first_name,last_name,draft_year,draft_team,draft_round,pick_in_round,pick_overall
8480840,DAL,Oskar,Back,2018.0,DAL,3.0,13.0,75.0
8473994,DAL,Jamie,Benn,2007.0,DAL,5.0,8.0,129.0
8481712,DAL,Matej,Blumel,2019.0,EDM,4.0,7.0,100.0
8482145,DAL,Mavrik,Bourque,2020.0,DAL,1.0,30.0,30.0
8474149,DAL,Evgenii,Dadonov,2007.0,FLA,3.0,10.0,71.0
8480848,DAL,Ty,Dellandrea,2018.0,DAL,1.0,13.0,13.0
8475168,DAL,Matt,Duchene,2009.0,COL,1.0,3.0,3.0
8476889,DAL,Radek,Faksa,2012.0,DAL,1.0,13.0,13.0
8478449,DAL,Roope,Hintz,2015.0,DAL,2.0,19.0,49.0
8482740,DAL,Wyatt,Johnston,2021.0,DAL,1.0,23.0,23.0
8479518,DAL,Fredrik,Karlström,2016.0,DAL,3.0,29.0,90.0
8478975,DAL,Mason,Marchment,,,,,
8470794,DAL,Joe,Pavelski,2003.0,SJS,7.0,8.0,205.0
8480027,DAL,Jason,Robertson,2017.0,DAL,2.0,8.0,39.0
8475794,DAL,Tyler,Seguin,2010.0,BOS,1.0,2.0,2.0
8475225,DAL,Craig,Smith,2009.0,NSH,4.0,7.0,98.0
8482702,DAL,Logan,Stankoven,2021.0,DAL,2.0,15.0,47.0
8479351,DAL,Sam,Steel,2016.0,ANA,1.0,30.0,30.0
8477456,DET,J.T.,Compher,2013.0,BUF,2.0,5.0,35.0
8477429,DET,Andrew,Copp,2013.0,WPG,4.0,13.0,104.0
8479337,DET,Alex,DeBrincat,2016.0,CHI,2.0,9.0,39.0
8477952,DET,Robby,Fabbri,2014.0,STL,1.0,21.0,21.0
8478432,DET,Christian,Fischer,2015.0,ARI,2.0,2.0,32.0
8474141,DET,Patrick,Kane,2007.0,CHI,1.0,1.0,1.0
8477946,DET,Dylan,Larkin,2014.0,DET,1.0,15.0,15.0
8474102,DET,David,Perron,2007.0,STL,1.0,26.0,26.0
8479992,DET,Michael,Rasmussen,2017.0,DET,1.0,9.0,9.0
8482078,DET,Lucas,Raymond,2020.0,DET,1.0,4.0,4.0
8478466,DET,Daniel,Sprong,2015.0,PIT,2.0,16.0,46.0
8480813,DET,Joe,Veleno,2018.0,DET,1.0,30.0,30.0
8482673,EDM,Xavier,Bourgault,2021.0,EDM,1.0,22.0,22.0
8477015,EDM,Connor,Brown,2012.0,TOR,6.0,5.0,156.0
8475842,EDM,Sam,Carrick,2010.0,TOR,5.0,24.0,144.0
