,game_num,date,team_id,team_code,player_id,name,catches,toi,assists,goals,pim,shots,saves,pp_saves,sh_saves,ev_saves,sh_shots,ev_shots,pp_shots,decision,sv_perc,pp_sv_perc,sh_sv_perc,ev_sv_perc,home_away
48,2022020547,2023-04-14T23:30:00Z,29,CBJ,8474636,Michael Hutchinson,R,20:00,0,0,0,8,7,0,0,7,0,8,0,,87.5,NaN,NaN,87.5,home
49,2022020548,2022-12-28T00:00:00Z,12,CAR,8477293,Antti Raanta,L,60:00,0,0,0,24,24,3,0,21,0,21,3,W,100.0,100.0,NaN,100.0,home
50,2022020549,2022-12-28T00:00:00Z,3,NYR,8478048,Igor Shesterkin,L,58:06,0,0,0,29,26,3,1,22,1,24,4,L,89.65517241379311,75.0,100.0,91.66666666666666,home
51,2022020550,2022-12-28T00:30:00Z,2,NYI,8478009,Ilya Sorokin,L,59:59,0,0,0,21,20,1,0,19,0,20,1,W,95.23809523809523,100.0,NaN,95.0,home
52,2022020551,2022-12-28T01:00:00Z,18,NSH,8477424,Juuse Saros,L,59:23,0,0,0,33,30,4,0,26,0,28,5,L,90.9090909090909,80.0,NaN,92.85714285714286,home
53,2022020552,2022-12-28T01:00:00Z,52,WPG,8476945,Connor Hellebuyck,L,59:32,0,0,0,27,24,0,0,24,0,26,1,L,88.88888888888889,0.0,NaN,92.3076923076923,home
54,2022020553,2022-12-28T01:00:00Z,19,STL,8476412,Jordan Binnington,L,64:03,0,0,0,37,32,4,1,27,2,31,4,L,86.48648648648648,100.0,50.0,87.09677419354838,home
55,2022020554,2022-12-28T02:00:00Z,53,ARI,8478971,Connor Ingram,L,60:00,0,0,0,31,28,0,1,27,1,29,1,W,90.32258064516128,0.0,100.0,93.10344827586206,home
56,2022020555,2022-12-28T02:00:00Z,20,CGY,8474593,Jacob Markstrom,L,58:41,0,0,0,22,20,5,0,15,0,16,6,L,90.9090909090909,83.33333333333334,NaN,93.75,home
57,2022020556,2022-12-28T03:00:00Z,23,VAN,8477484,Spencer Martin,L,60:00,0,0,0,26,24,1,0,23,0,24,2,W,92.3076923076923,50.0,NaN,95.83333333333334,home
58,2022020557,2022-12-28T03:30:00Z,26,LAK,8477831,Pheonix Copley,L,60:00,0,0,0,25,23,5,0,18,0,19,6,W,92.0,83.33333333333334,NaN,94.73684210526315,home
59,2022020558,2022-12-29T00:30:00Z,1,NJD,8477970,Vitek Vanecek,L,57:35,0,0,0,26,24,4,0,20,0,22,4,L,92.3076923076923,100.0,NaN,90.9090909090909,home
60,2022020559,2022-12-29T00:00:00Z,14,TBL,8476883,Andrei Vasilevskiy,L,59:53,0,0,0,26,25,7,1,17,1,18,7,W,96.15384615384616,100.0,100.0,94.44444444444444,home
