game_num,game_date,team_id,team_code,player_id,player_name,catches,toi,assists,goals,pim,shots,saves,pp_saves,sh_saves,ev_saves,sh_shots,ev_shots,pp_shots,decision,sv_perc,pp_sv_perc,sh_sv_perc,ev_sv_perc,home_away
2022020069,2022-10-21,22,EDM,8475789,Jack Campbell,L,59:47:00,0,0,0,40,36,6,2,28,2,30,8,W,90,75,100,93.33333333333331,home
2022020070,2022-10-21,54,VGK,8478499,Adin Hill,L,59:52:00,0,0,2,28,26,0,1,25,1,27,0,W,92.85714285714286,,100,92.59259259,home
2022020071,2022-10-21,13,FLA,8475683,Sergei Bobrovsky,L,61:42:00,0,0,0,32,29,7,1,21,1,22,9,L,90.625,77.77777777777779,100,95.45454545454544,home
2022020072,2022-10-22,16,CHI,8471774,Alex Stalock,L,22:16,0,0,2,10,10,3,0,7,0,7,3,W,100,100,,100,home
2022020072,2022-10-22,16,CHI,8475852,Petr Mrazek,L,39:37:00,0,0,0,18,15,0,0,15,0,17,1,,83.33333333333334,0,,88.23529411764706,home
2022020073,2022-10-22,21,COL,8480925,Pavel Francouz,R,59:25:00,0,0,0,38,35,6,0,29,0,31,7,L,92.10526315789474,85.71428571428571,,93.5483871,home
2022020074,2022-10-22,6,BOS,8476999,Linus Ullmark,L,64:49:00,0,0,0,27,24,5,1,18,2,19,6,W,88.88888888888889,83.33333333333334,50,94.73684210526316,home
2022020075,2022-10-22,1,NJD,8478406,Mackenzie Blackwood,L,59:53:00,0,0,0,22,21,1,1,19,1,20,1,W,95.45454545454544,100,100,95,home
2022020076,2022-10-22,9,OTT,8476341,Anton Forsberg,L,60:00:00,0,0,0,22,20,6,0,14,0,15,7,W,90.90909091,85.71428571428571,,93.33333333333331,home
2022020077,2022-10-22,22,EDM,8475789,Jack Campbell,L,58:31:00,0,0,0,21,20,2,0,18,0,18,3,L,95.23809523809524,66.66666666666666,,100,home
2022020078,2022-10-22,8,MTL,8474596,Jake Allen,L,60:00:00,0,0,0,30,25,3,2,20,2,23,5,L,83.33333333333334,60,100,86.95652173913044,home
2022020079,2022-10-22,15,WSH,8475311,Darcy Kuemper,L,59:54:00,0,0,0,26,23,0,1,22,1,25,0,W,88.46153846153845,,100,88,home
2022020080,2022-10-22,14,TBL,8470880,Brian Elliott,L,59:26:00,0,0,0,35,32,5,0,27,0,30,5,W,91.42857142857144,100,,90,home
2022020081,2022-10-22,29,CBJ,8478007,Elvis Merzlikins,L,60:00:00,0,0,0,39,33,4,0,29,0,35,4,L,84.61538461538461,100,,82.85714285714286,home
2022020082,2022-10-22,52,WPG,8476945,Connor Hellebuyck,L,59:46:00,0,0,0,27,24,1,0,23,0,24,3,L,88.88888888888889,33.33333333333333,,95.83333333333334,home
2022020083,2022-10-23,18,NSH,8477424,Juuse Saros,L,56:32:00,0,0,0,25,22,1,0,21,0,24,1,L,88,100,,87.5,home
2022020084,2022-10-23,23,VAN,8477967,Thatcher Demko,L,59:48:00,0,0,0,26,22,0,2,20,2,23,1,L,84.61538461538461,0,100,86.95652173913044,home
2022020085,2022-10-23,20,CGY,8474593,Jacob Markstrom,L,64:30:00,0,0,0,27,25,3,1,21,1,23,3,W,92.59259259,100,100,91.30434782608695,home
2022020086,2022-10-23,54,VGK,8480313,Logan Thompson,R,57:41:00,0,0,0,25,22,2,0,20,0,21,4,L,88,50,,95.23809523809524,home
2022020087,2022-10-23,16,CHI,8471774,Alex Stalock,L,60:00:00,0,0,0,34,30,7,1,22,1,26,7,W,88.23529411764706,100,100,84.61538461538461,home
2022020088,2022-10-23,17,DET,8478024,Ville Husso,L,60:00:00,0,0,0,33,32,5,0,27,0,28,5,W,96.96969696969695,100,,96.42857142857144,home
2022020089,2022-10-23,3,NYR,8470860,Jaroslav Halak,L,60:00:00,0,0,0,21,16,0,1,15,1,20,0,L,76.19047619047619,,100,75,home
2022020090,2022-10-23,13,FLA,8481519,Spencer Knight,L,59:50:00,0,0,0,26,24,10,0,14,0,14,12,W,92.30769231,83.33333333333334,,100,home
2022020091,2022-10-23,4,PHI,8478433,Felix Sandstrom,L,59:01:00,0,0,0,24,22,3,0,19,0,21,3,L,91.66666666666666,100,,90.47619047619048,home
2022020092,2022-10-24,9,OTT,8476433,Magnus Hellberg,L,60:00:00,0,0,0,31,29,2,0,27,0,29,2,W,93.5483871,100,,93.10344827586206,home
2022020093,2022-10-24,1,NJD,8478406,Mackenzie Blackwood,L,40:00:00,0,0,0,18,13,3,3,7,4,10,4,L,72.22222222222221,75,75,70,home
2022020093,2022-10-24,1,NJD,8477970,Vitek Vanecek,L,20:00,0,0,0,4,3,0,0,3,0,4,0,,75,,,75,home
2022020094,2022-10-25,22,EDM,8475789,Jack Campbell,L,60:00:00,0,0,0,35,32,7,0,25,0,27,8,W,91.42857142857144,87.5,,92.59259259,home
2022020095,2022-10-25,52,WPG,8476945,Connor Hellebuyck,L,60:00:00,0,0,0,25,25,3,0,22,0,22,3,W,100,100,,100,home
2022020096,2022-10-25,54,VGK,8480313,Logan Thompson,R,60:00:00,0,0,0,23,22,4,0,18,0,19,4,W,95.65217391304348,100,,94.73684210526316,home
2022020097,2022-10-25,23,VAN,8477967,Thatcher Demko,L,57:46:00,0,0,0,39,36,3,0,33,0,35,4,L,92.30769231,75,,94.28571428571428,home
2022020098,2022-10-25,29,CBJ,8480193,Daniil Tarasov,L,35:07:00,0,0,0,12,8,1,0,7,0,9,3,L,66.66666666666666,33.33333333333333,,77.77777777777779,home
2022020098,2022-10-25,29,CBJ,8478007,Elvis Merzlikins,L,22:55,0,0,0,6,5,1,2,2,2,3,1,,83.33333333333334,100,100,66.66666666666666,home
2022020099,2022-10-26,3,NYR,8478048,Igor Shesterkin,L,64:00:00,0,0,0,44,42,5,1,36,2,36,6,L,95.45454545454544,83.33333333333334,50,100,home
2022020100,2022-10-25,6,BOS,8476999,Linus Ullmark,L,59:55:00,0,0,0,31,30,3,1,26,1,27,3,W,96.77419355,100,100,96.29629629629628,home
2022020101,2022-10-25,8,MTL,8474596,Jake Allen,L,59:08:00,0,0,0,30,28,6,0,22,0,24,6,L,93.33333333333331,100,,91.66666666666666,home
2022020102,2022-10-25,17,DET,8477968,Alex Nedeljkovic,L,60:00:00,0,0,0,41,35,0,0,35,1,39,1,L,85.36585365853658,0,0,89.74358974358975,home
