player_id,games_played,goals,assists,points,gwg,ot_goals,shots,shooting_pctg,pim,plus_minus,pp_goals,pp_points,sh_goals,sh_points
8479369,77,5,9,14,0,0,82,0.060976,22,-12,0,0,0,0
8479400,29,5,14,19,0,0,42,0.119048,19,-4,3,6,0,0
8479520,82,4,5,9,0,0,64,0.0625,78,-2,0,0,1,1
8479591,56,8,10,18,1,0,109,0.073394,31,-3,1,4,0,0
8479661,77,6,16,22,1,0,78,0.076923,66,-4,0,1,0,0
8479987,81,39,29,68,6,1,181,0.21547,22,-5,12,24,0,0
8479999,71,15,27,42,2,0,80,0.1875,12,12,2,7,0,0
8480035,41,2,13,15,1,0,40,0.05,14,2,0,2,0,0
8480355,82,12,10,22,4,0,100,0.12,140,6,0,1,1,1
8480796,81,5,22,27,0,0,73,0.068493,39,15,0,0,0,0
8480873,73,5,24,29,1,0,90,0.055556,12,4,0,1,0,0
8481580,78,14,32,46,5,1,142,0.098592,30,8,2,5,0,1
8481656,76,25,27,52,5,0,159,0.157233,20,20,0,1,2,3
8482088,78,15,20,35,1,1,108,0.138889,35,17,3,3,0,0
8482148,74,4,12,16,0,0,53,0.075472,31,0,0,0,0,0
8482177,77,15,18,33,1,1,78,0.192308,16,12,0,1,0,0
8482511,73,7,19,26,0,0,72,0.097222,20,17,2,5,0,0
8483489,82,17,18,35,2,2,116,0.146552,20,21,1,3,0,1
8484186,75,20,25,45,3,0,153,0.130719,47,2,4,14,0,0
8474150,82,17,26,43,3,0,186,0.091398,16,7,1,3,1,5
8474641,65,3,12,15,0,0,91,0.032967,18,-12,0,3,0,2
8475172,77,16,34,50,2,0,213,0.075117,30,-30,5,19,0,0
8475218,82,6,35,41,2,0,131,0.045802,30,32,0,3,0,0
8476399,69,20,15,35,3,0,176,0.113636,49,12,0,1,4,4
8476454,72,20,36,56,2,0,133,0.150376,21,-9,11,29,0,1
8476967,83,1,11,12,0,0,95,0.010526,38,-4,0,0,0,0
8477346,79,4,24,28,0,0,154,0.025974,88,-33,0,6,0,1
8477498,82,7,17,24,0,0,164,0.042683,104,-12,0,0,0,2
8477810,68,0,7,7,0,0,43,0.0,44,-5,0,0,0,0
8477934,65,35,62,97,3,1,186,0.188172,26,13,16,42,1,1
8477953,41,8,9,17,0,0,65,0.123077,14,5,0,0,0,0
8477993,20,1,1,2,1,0,11,0.090909,2,1,0,0,0,0
8478233,62,8,8,16,1,0,58,0.137931,42,-21,0,0,0,0
8478397,81,17,30,47,0,0,178,0.095506,71,4,6,13,1,1
8478402,82,48,90,138,4,1,306,0.156863,44,17,13,54,1,2
8479066,57,4,5,9,1,0,53,0.075472,59,-4,0,0,0,0
8479365,74,4,3,7,1,0,77,0.051948,58,-15,0,0,0,0
8479402,16,1,1,2,0,0,16,0.0625,16,-7,0,0,0,0
8480028,82,22,21,43,3,1,140,0.157143,28,-16,8,16,0,0
8480797,82,20,18,38,2,0,142,0.140845,28,-9,1,3,4,5
8480803,82,21,74,95,5,3,221,0.095023,30,25,7,33,0,2
8480831,29,0,3,3,0,0,18,0.0,35,-16,0,0,0,0
8480834,72,2,10,12,1,0,46,0.043478,23,-1,0,0,0,0
