player_id,games_played,avg_toi,goals,assists,points,gwg,ot_goals,shots,fo_win_pctg,pim,plus_minus,shooting_pctg,pp_goals,pp_points,sh_goals,sh_points
8479387,47,11:18,0,3,3,0,0,46,0.48210000000000003,36,-2,NaN,0,0,0,0
8483505,69,13:12,7,20,27,2,0,77,NaN,18,0,0.0909,0,1,0,0
8483546,3,11:00,0,0,0,0,0,2,NaN,0,1,NaN,0,0,0,0
8485251,3,12:11,0,0,0,0,0,2,0.4413,5,-1,0.0,0,0,0,0
8482993,16,11:10,5,0,5,0,0,25,NaN,12,-4,0.2,0,0,0,0
8484933,4,14:55,0,1,1,0,0,3,0.4642,0,-1,NaN,0,0,0,0
8484938,25,11:14,3,3,6,0,0,29,0.2,2,1,0.10339999999999999,0,0,1,1
8481572,58,14:49,1,11,12,0,0,68,NaN,26,0,NaN,0,1,0,0
8482153,27,11:19,2,7,9,1,0,29,0.5866,2,-9,0.0689,1,2,0,0
8482742,87,12:26,9,11,20,0,0,110,NaN,84,-3,0.0818,0,2,0,0
8479942,27,7:30,3,1,4,0,0,18,0.5,22,-1,0.1666,0,0,0,0
8482652,95,8:56,11,10,21,2,0,93,0.2727,10,-15,0.1182,0,0,0,0
8483675,2,8:40,0,0,0,0,0,5,0.4545,0,-1,0.0,0,0,0,0
8483699,1,12:18,1,0,1,0,0,1,0.1304,0,1,NaN,0,0,0,0
8481534,17,8:50,0,0,0,0,0,14,0.2857,4,-6,0.0,0,0,0,0
8477931,514,12:00,47,73,120,7,0,627,NaN,166,-17,0.07490000000000001,1,2,5,9
8482715,19,13:58,2,9,11,1,0,11,0.0,6,0,NaN,0,2,0,0
8483731,17,12:38,5,4,9,1,0,23,0.5349,2,3,0.2173,0,0,0,0
8475718,405,18:16,14,83,97,5,1,340,NaN,194,64,NaN,0,0,1,4
8480870,78,12:36,4,6,10,2,0,66,0.0,24,-5,0.060599999999999994,0,0,1,1
8484188,17,15:46,2,2,4,1,0,20,NaN,6,6,NaN,0,0,0,0
8479543,209,7:59,15,23,38,1,0,177,0.424,276,-13,0.08470000000000001,0,1,0,0
8480326,127,10:12,16,10,26,1,0,160,NaN,59,-20,0.1,5,6,2,2
8482107,18,16:54,2,4,6,0,0,15,0.4,2,-4,NaN,0,1,0,0
8481518,42,9:50,7,3,10,0,0,43,0.493,6,-1,0.16269999999999998,0,0,0,0
8484873,14,17:27,3,7,10,0,0,22,NaN,8,-3,NaN,1,6,0,0
8482067,45,14:06,4,7,11,0,0,43,0.0909,84,-4,NaN,0,0,0,0
8475253,87,8:22,2,6,8,0,0,94,NaN,47,-4,0.0212,0,0,0,0
8482162,10,7:40,0,1,1,0,0,7,NaN,4,-6,0.0,0,0,0,0
8486056,6,11:02,1,0,1,0,0,5,0.375,2,-2,0.2,0,0,0,0
8481575,29,15:29,0,8,8,0,0,30,0.3333,6,-7,NaN,0,2,0,0
8483435,2,7:02,0,0,0,0,0,1,0.5094,0,0,NaN,0,0,0,0
8484759,4,14:32,1,1,2,0,0,5,NaN,2,-1,NaN,0,1,0,0
8485391,12,17:42,3,6,9,0,0,36,NaN,4,-1,0.0833,0,2,0,0
8481186,356,13:34,45,60,105,7,0,471,NaN,147,33,0.0955,0,0,6,11
8483669,11,11:10,3,1,4,0,0,15,0.3018,5,0,0.2,0,0,0,0
8484793,7,9:15,1,1,2,1,0,6,0.36719999999999997,9,-1,0.1666,0,0,0,0
8484169,9,14:51,0,2,2,0,0,3,0.5,4,4,NaN,0,0,0,0
8482802,9,9:38,0,0,0,0,0,3,0.37770000000000004,0,-3,0.0,0,0,0,0
8478888,5,9:35,1,0,1,0,0,5,NaN,0,0,0.2,0,0,0,0
8485406,9,17:02,4,6,10,1,1,32,0.0,6,4,0.125,2,4,0,0
8483444,3,8:01,0,0,0,0,0,2,0.41659999999999997,0,-1,0.0,0,0,0,0
8480075,8,13:05,0,1,1,0,0,5,0.3333,0,-2,NaN,0,0,0,0
8484406,8,10:43,1,0,1,0,0,3,0.25,4,1,0.3333,0,0,0,0
8483397,35,9:33,6,1,7,0,0,30,NaN,10,-5,0.2,0,0,0,0
8482731,6,15:37,0,0,0,0,0,9,0.41659999999999997,2,1,NaN,0,0,0,0
8482663,3,8:22,1,0,1,0,0,2,0.4,0,-1,NaN,0,0,0,0
8484234,7,12:05,0,1,1,0,0,10,NaN,2,2,NaN,0,0,0,0
8484999,4,15:54,1,3,4,0,0,7,NaN,2,1,0.14279999999999998,1,1,0,0
8483687,4,20:22,0,3,3,0,0,6,NaN,0,4,NaN,0,0,0,0
8483712,4,17:16,0,1,1,0,0,3,0.4523,0,2,NaN,0,1,0,0
8485467,4,13:33,0,1,1,0,0,3,NaN,2,-2,0.0,0,0,0,0
8480291,6,15:32,1,0,1,0,0,3,NaN,4,-5,0.3333,0,0,0,0
8481004,17,12:23,0,1,1,0,0,13,0.30760000000000004,6,1,0.0,0,0,0,0
8477851,409,17:51,23,73,96,1,1,489,0.5735,75,-60,0.047,5,16,0,0
8482174,3,17:20,0,0,0,0,0,2,0.4347,0,1,NaN,0,0,0,0
8484380,3,15:01,0,2,2,0,0,4,1.0,4,3,NaN,0,0,0,0
8483709,4,12:01,0,0,0,0,0,0,NaN,2,0,NaN,0,0,0,0
8484220,2,13:09,0,1,1,0,0,3,NaN,0,0,NaN,0,0,0,0
8485395,2,14:33,0,1,1,0,0,2,NaN,2,1,0.0,0,0,0,0
8482873,2,15:28,0,0,0,0,0,0,NaN,0,1,NaN,0,0,0,0
8483467,5,15:02,0,2,2,0,0,6,1.0,0,3,NaN,0,0,0,0
8482525,2,9:52,0,0,0,0,0,1,NaN,2,1,NaN,0,0,0,0
8486166,2,21:18,0,0,0,0,0,0,NaN,0,1,NaN,0,0,0,0
8484152,9,17:46,0,2,2,0,0,11,NaN,10,-4,NaN,0,1,0,0
8484242,3,10:59,0,0,0,0,0,2,NaN,2,0,0.0,0,0,0,0
8480853,105,11:55,7,15,22,0,0,120,NaN,16,-29,0.0583,0,0,0,0
8482187,1,15:12,0,0,0,0,0,0,0.3157,0,0,NaN,0,0,0,0
8484392,1,14:35,0,1,1,0,0,0,0.25,0,1,NaN,0,0,0,0
8485388,1,15:30,0,1,1,0,0,2,NaN,0,0,NaN,0,0,0,0
8478409,40,10:44,6,8,14,1,0,40,NaN,8,-3,0.15,0,1,0,0
8483760,1,15:11,0,1,1,0,0,0,NaN,4,3,NaN,0,0,0,0
8484148,1,16:28,1,1,2,0,0,1,0.14279999999999998,0,1,NaN,0,0,0,0
8481093,85,14:26,17,14,31,1,0,92,NaN,16,4,0.18469999999999998,4,4,1,2
8486169,1,25:14,0,0,0,0,0,0,NaN,0,-2,NaN,0,0,0,0
8475857,139,14:19,1,14,15,0,0,147,0.3023,16,-9,NaN,1,3,0,0
8483482,14,16:52,2,2,4,0,0,19,NaN,6,-2,NaN,0,0,0,0
8483696,1,11:23,0,1,1,0,0,1,NaN,0,1,NaN,0,0,0,0
