player_id,position
8478449,C
8479193,G
8479351,C
8479378,D
8479414,R
8479979,G
8480014,C
8480027,L
8480036,D
8480113,L
8480145,D
8480289,C
8480878,D
8480950,D
8481043,L
8481581,D
8482145,C
8482740,C
8482787,R
8483425,D
8484829,C
8474013,D
8475461,L
8476874,D
8477220,D
8477951,C
8477970,G
8478474,L
8478507,D
8478831,C
8478872,G
8479293,L
8479343,R
8479410,D
8479977,R
8480434,D
8480855,C
8482175,R
8482699,R
8483431,C
8484386,D
8474574,D
8475169,L
8475762,D
8477967,G
8477969,D
8478444,R
8478498,L
8478856,R
8479425,D
8480012,C
8480078,C
8480748,L
8480800,D
8480947,G
8482055,L
8482691,C
8483395,L
8483476,R
8483678,D
8485385,C
8471817,R
8475181,D
8475200,D
8475726,C
8475784,L
8475906,D
8476624,C
8477018,D
8477505,C
8477968,G
8478874,R
8479983,D
8480043,D
8480798,C
8480848,C
8482137,G
8482166,D
8482667,L
8484227,C
8484801,C
8484911,R
8473986,L
8474586,R
8475184,L
8475462,D
8475768,L
8475798,C
8475831,G
8475852,G
8476457,D
8476467,D
8476885,D
8476905,C
8477527,L
8477919,C
8477955,L
8477986,D
8478366,R
8478407,D
8478873,R
8478916,G
8478975,L
8479324,D
8479372,D
8480009,R
8480068,C
8480843,G
8481563,D
8481605,D
8481789,L
8482118,R
8482665,C
8482745,C
8482751,C
8482803,D
8483445,L
8483490,D
8483497,R
8483524,C
8484153,C
8484762,R
8480074,L
8484180,L
8484768,D
8480887,D
8482671,D
8482896,C
8480879,D
8481013,R
8479772,R
8482090,C
8484304,D
8483553,C
8475810,R
8481704,C
8483733,R
8484779,C
8482117,L
8482146,R
8476463,D
8482470,D
8481754,C
8484806,D
8476899,G
8477380,C
8477947,L
8480990,D
8481525,D
8482623,C
8482655,D
8480245,R
8481606,D
8482095,D
8476525,D
8474037,L
8484158,R
8482126,D
8481161,D
8483531,L
8483768,D
8483525,R
8479619,L
8480849,C
8482103,C
8478458,C
8479442,D
8481133,L
8482624,D
8475755,D
8476422,D
8476873,L
8485402,C
8476856,D
8477365,D
8480208,R
8484145,L
8481593,D
8481560,R
8482076,G
8481237,C
8481546,D
8484135,C
8482475,R
8477454,L
8481024,C
8484136,C
8479705,L
8477831,G
8482726,C
8476927,C
8477070,C
8479576,D
8482861,D
8480871,D
8477508,C
8477401,C
8479985,D
8480813,C
8483424,C
8475752,C
8482516,D
8483565,D
8481556,C
8482947,C
8476456,L
8482125,R
8482172,L
8482178,D
8480259,C
8484800,C
8484305,D
8483471,C
8484428,D
8478013,D
8481544,G
8476425,C
8480058,D
8482496,C
8483570,C
8483573,C
8470621,R
8476474,R
8483500,C
8482749,R
8480828,D
8483752,C
8476897,C
8484241,R
8482911,D
8477541,D
8479026,D
8480045,G
8481569,D
8476878,C
8480426,D
8481655,R
8482761,G
8483710,G
8475795,D
8479980,D
8484203,L
8482072,D
8480840,C
8482747,L
8482411,G
8483503,D
8480891,D
8478424,C
8479393,L
8481219,D
8481562,D
8478476,D
8477996,C
8478406,G
8483429,D
8484240,D
8478104,L
8478413,L
8482783,G
8476907,L
8484164,R
8480825,R
8479421,D
8484221,C
8482953,L
8482765,R
8481848,C
8479395,D
8481554,R
8482206,R
8484197,C
8481611,G
8483039,C
8476392,C
8476872,C
8478062,D
8482165,D
8477435,D
8478046,L
8479533,L
8483703,G
8482094,D
8482877,R
8475692,R
8475763,R
8478841,D
8479336,R
8482634,C
8482858,D
8480238,G
8483432,C
8484160,C
8478173,R
8480084,D
8482149,C
8484210,R
8477406,C
8477149,R
8479383,L
8482515,G
8476458,C
8480819,G
8482209,C
8483890,R
8480049,D
8481715,D
8481592,L
8483728,C
8481594,R
8482941,L
8475786,L
8479361,G
8482859,C
8482666,D
8479362,L
8481712,R
8480144,C
8484901,C
8477463,D
8483398,D
8473994,L
8481609,D
8484821,C
8477426,L
8483433,R
8484168,C
8483676,C
8481591,R
8483114,G
8476867,C
8484403,L
8484529,C
8484255,R
8481477,C
8482132,L
8482193,G
8476979,D
8482698,C
8483510,D
8482785,C
8474090,D
8484214,C
8483930,C
8483686,D
8478024,G
8484268,G
