"game_id","h_team_id","a_team_id","game_period","time_remaining","home_def_code","event_owner_team_id","x_coord","y_coord","shot_type","score_player_id"
2024020918,6,10,1,"19:31","left",6,67,-3,"wrist",8477956
2024020918,6,10,3,"9:27","left",6,79,8,"wrist",8477956
2024020921,14,22,1,"8:07","left",22,-74,10,"wrist",8477934
2024020923,15,20,3,"15:08","right",15,-71,-29,"snap",8471214
2024020933,6,2,3,"9:56","left",6,82,-37,"wrist",8477956
2024020937,13,22,2,"2:30","left",22,-82,7,"wrist",8477934
2024020945,3,10,2,"19:09","left",10,-87,2,"poke",8477939
2024020950,15,14,3,"3:59","right",15,-63,3,"snap",8471214
2024020952,5,6,1,"18:28","left",6,-85,4,"wrist",8477956
2024020961,5,10,4,"4:00","right",10,53,-7,"wrist",8477939
2024020968,8,7,3,"16:36","right",7,49,32,"slap",8479420
2024020971,10,28,5,"0:00","right",10,-75,6,"wrist",8477939
2024020974,7,28,3,"13:05","left",7,64,27,"slap",8479420
2024020981,22,24,1,"9:55","left",22,82,-14,"snap",8477934
2024020983,3,15,3,"9:32","right",15,76,8,"wrist",8471214
2024020989,14,7,2,"10:25","right",7,49,25,"wrist",8479420
2024020995,22,8,2,"18:54","right",22,-56,-21,"snap",8477934
2024021014,15,55,3,"1:29","right",15,-9,-40,"backhand",8471214
2024021021,7,22,1,"6:32","left",7,81,3,"wrist",8479420
2024021021,7,22,3,"16:40","left",7,82,4,"wrist",8479420
2024021024,59,10,1,"7:18","left",10,-63,-18,"snap",8477939
2024021025,6,13,3,"11:04","left",6,81,-4,"wrist",8477956
2024021036,17,7,1,"12:22","right",7,50,-15,"wrist",8479420
2024021041,9,6,2,"13:01","right",6,73,-1,"tip-in",8477956
2024021042,1,22,2,"9:55","right",22,75,17,"wrist",8477934
2024021050,2,22,2,"11:14","right",22,55,18,"slap",8477934
2024021050,2,22,4,"1:07","right",22,68,2,"snap",8477934
2024021057,28,15,3,"9:06","left",15,-82,0,"tip-in",8471214
2024021059,10,9,2,"13:11","left",10,84,4,"backhand",8477939
2024021076,10,20,2,"18:21","left",10,62,22,"slap",8477939
2024021092,15,4,1,"5:35","right",15,-80,-10,"slap",8471214
2024021129,7,9,3,"18:37","left",7,79,6,"wrist",8479420
2024021130,10,4,1,"4:49","right",10,-76,-25,"wrist",8477939
2024021130,10,4,2,"8:05","left",10,51,4,"wrist",8477939
2024021135,52,15,3,"4:00","right",15,64,13,"snap",8471214
2024021142,24,6,2,"3:40","right",6,61,-15,"snap",8477956
2024021143,7,5,1,"19:33","left",7,68,-6,"wrist",8479420
2024021152,28,10,1,"5:20","left",10,-82,9,"wrist",8477939
2024021152,28,10,3,"0:14","left",10,-69,11,"wrist",8477939
2024021152,28,10,5,"0:00","left",10,-80,-4,"backhand",8477939
2024021167,22,20,3,"3:12","left",22,71,-24,"snap",8477934
2024021167,22,20,4,"2:35","right",22,-51,-1,"snap",8477934
2024021171,15,7,1,"7:11","right",7,87,5,"wrist",8479420
2024021171,15,7,3,"18:32","right",7,75,19,"snap",8479420
2024021171,15,7,3,"10:49","right",15,-76,-2,"tip-in",8471214
2024021182,6,15,1,"4:17","left",15,-82,-5,"wrist",8471214
2024021182,6,15,2,"2:48","right",6,-80,1,"tip-in",8477956
2024021182,6,15,3,"4:47","left",6,63,-17,"wrist",8477956
2024021184,9,7,2,"7:24","right",7,78,1,"snap",8479420
2024021189,54,22,2,"3:57","left",22,-67,22,"snap",8477934
2024021193,12,15,2,"0:35","left",15,-55,-14,"slap",8471214
2024021207,15,16,1,"16:08","right",15,-75,12,"snap",8471214
2024021207,15,16,3,"13:47","right",15,-67,-23,"snap",8471214
2024021214,6,12,2,"9:46","right",6,-87,-17,"wrist",8477956
2024021214,6,12,3,"18:32","left",6,81,-6,"bat",8477956
2024021214,6,12,3,"4:42","left",6,82,-1,"wrist",8477956
2024021215,7,14,2,"15:13","right",7,-57,0,"wrist",8479420
2024021216,10,29,3,"18:49","right",10,-80,-17,"wrist",8477939
2024021216,10,29,3,"15:39","right",10,-53,-3,"wrist",8477939
2024021222,2,15,2,"12:34","right",15,52,22,"wrist",8471214
2024021226,7,6,2,"12:25","right",7,-84,3,"wrist",8479420
2024021226,7,6,3,"14:09","left",7,77,-2,"backhand",8479420
2024021226,7,6,3,"0:46","left",7,-52,11,"wrist",8479420
2024021235,7,12,2,"18:28","right",7,-62,16,"wrist",8479420
2024021238,1,6,1,"10:22","left",6,-58,-12,"snap",8477956
2024021250,6,16,1,"9:21","left",6,84,2,"deflected",8477956
2024021279,12,10,3,"18:35","right",10,81,-2,"tip-in",8477939
2024021281,15,29,1,"18:50","right",15,-63,11,"slap",8471214
2024021291,6,1,2,"19:31","right",6,-83,-1,"backhand",8477956
2024021311,5,15,2,"3:04","right",15,48,22,"slap",8471214
