"game_id","game_period","event_id","time_in_period","time_remaining","situation_code","home_def_code","type_code","event_name","event_owner_team_id","zone_code","x_coord","y_coord","shot_type","goalie_in_id","score_player_id","score_player_total","assist_1_player_id","assist_1_player_total","assist_2_player_id","assist_2_player_total","away_score","home_score","video_link"
2024020056,4,1315,"0:56","4:04",1331,"right",505,"goal",22,"O",-72,-3,"snap",8477424,8477934,2,8478402,4,NULL,NULL,3,4,"https://nhl.com/video/phi-edm-draisaitl-scores-goal-against-samuel-ersson-6363317132112"
2024020077,3,1073,"17:38","2:22",651,"right",505,"goal",22,"O",80,19,"snap",8478406,8477934,3,8476454,2,8478402,5,1,3,"https://nhl.com/video/edm-dal-draisaitl-scores-goal-against-jake-oettinger-6363499938112"
2024020121,2,824,"13:00","7:00",1551,"right",505,"goal",22,"O",-60,24,"snap",NULL,8477934,4,8478042,1,8480803,2,0,1,"https://nhl.com/video/pit-edm-draisaitl-scores-goal-against-joel-blomqvist-6363773410112"
2024020136,2,203,"8:46","11:14",1551,"left",505,"goal",22,"O",-87,18,"snap",8478470,8477934,5,8478402,6,8480803,3,1,1,"https://nhl.com/video/edm-det-draisaitl-scores-goal-against-cam-talbot-6363849569112"
2024020136,4,1053,"0:18","4:42",1441,"left",505,"goal",22,"O",-85,4,"tip-in",NULL,8477934,6,8475218,6,8478402,7,3,2,"https://nhl.com/video/edm-det-draisaitl-scores-against-cam-talbot-6363852849112"
2024020166,2,675,"9:03","10:57",1551,"right",505,"goal",22,"O",67,-3,"wrist",8479312,8477934,7,NULL,NULL,NULL,NULL,3,1,"https://nhl.com/video/edm-nsh-draisaitl-scores-goal-against-juuse-saros-6364060893112"
2024020166,3,931,"1:48","18:12",1551,"left",505,"goal",22,"O",-82,11,"wrist",8479312,8477934,8,8475218,7,8480803,4,4,1,"https://nhl.com/video/edm-nsh-draisaitl-scores-goal-against-juuse-saros-6364062877112"
2024020190,1,103,"0:20","19:40",1551,"right",505,"goal",22,"O",74,-1,"backhand",NULL,8477934,9,8481617,3,NULL,NULL,1,0,"https://nhl.com/video/edm-cgy-draisaitl-scores-goal-against-dan-vladar-6364161550112"
2024020235,1,125,"2:48","17:12",1551,"right",505,"goal",22,"O",87,-5,"wrist",8478916,8477934,10,8475786,3,8478402,8,1,0,"https://nhl.com/video/edm-van-draisaitl-scores-goal-against-kevin-lankinen-6364493453112"
2024020249,2,597,"0:36","19:24",1451,"right",505,"goal",22,"O",-79,19,"slap",8480947,8477934,11,8478402,10,8480803,5,0,1,"https://nhl.com/video/leon-draisaitl-with-a-powerplay-goal-vs-new-york-islanders-6364627551112"
2024020249,4,1302,"1:52","3:08",1331,"right",505,"goal",22,"O",-86,-3,"snap",8479406,8477934,12,8478402,12,8480803,6,3,4,"https://nhl.com/video/nyi-edm-draisaitl-scores-goal-against-ilya-sorokin-6364630198112"
2024020274,3,1038,"18:31","1:29",651,"right",505,"goal",22,"O",83,-8,"wrist",8475683,8477934,13,8476454,7,8478402,14,3,3,"https://nhl.com/video/edm-tor-draisaitl-scores-goal-against-anthony-stolarz-6364813590112"
